iso,GCAM_region_ID,gcam_region
abw,9,Central America and Caribbean
afg,27,South Asia
ago,4,Africa_Southern
aia,9,Central America and Caribbean
alb,15,Europe_Non_EU
and,13,EU-15
ant,9,Central America and Caribbean
are,21,Middle East
arg,31,Argentina
arm,10,Central Asia
asm,29,Southeast Asia
atg,9,Central America and Caribbean
aus,6,Australia_NZ
aut,13,EU-15
aze,10,Central Asia
bdi,2,Africa_Eastern
bel,13,EU-15
ben,5,Africa_Western
bfa,5,Africa_Western
bgd,27,South Asia
bgr,12,EU-12
bhr,21,Middle East
bhs,9,Central America and Caribbean
bih,15,Europe_Non_EU
blr,14,Europe_Eastern
blz,9,Central America and Caribbean
bmu,9,Central America and Caribbean
bol,26,South America_Southern
bra,7,Brazil
brb,9,Central America and Caribbean
brn,29,Southeast Asia
btn,27,South Asia
bwa,4,Africa_Southern
caf,5,Africa_Western
can,8,Canada
cck,29,Southeast Asia
che,16,European Free Trade Association
chi,13,EU-15
chl,26,South America_Southern
chn,11,China
civ,5,Africa_Western
cmr,5,Africa_Western
cod,5,Africa_Western
cog,5,Africa_Western
cok,29,Southeast Asia
col,32,Colombia
com,2,Africa_Eastern
cpv,5,Africa_Western
cri,9,Central America and Caribbean
cub,9,Central America and Caribbean
cuw,9,Central America and Caribbean
cym,9,Central America and Caribbean
cyp,12,EU-12
cxr,29,Southeast Asia
cze,12,EU-12
deu,13,EU-15
dji,2,Africa_Eastern
dma,9,Central America and Caribbean
dnk,13,EU-15
dom,9,Central America and Caribbean
dza,3,Africa_Northern
ecu,26,South America_Southern
egy,3,Africa_Northern
eri,2,Africa_Eastern
esh,3,Africa_Northern
esp,13,EU-15
est,12,EU-12
eth,2,Africa_Eastern
fin,13,EU-15
fji,29,Southeast Asia
flk,13,EU-15
fra,13,EU-15
fro,13,EU-15
fsm,29,Southeast Asia
gab,5,Africa_Western
gbr,13,EU-15
geo,10,Central Asia
ggy,13,EU-15
gha,5,Africa_Western
gib,13,EU-15
gin,5,Africa_Western
glp,9,Central America and Caribbean
