"region","year","units","value","scenario","level"
"ABW","2005","ug/m3",4.32450347434817,"Central_AP_NDC-LTT","WORLD-CTRY"
"AFG","2005","ug/m3",40.3148678455154,"Central_AP_NDC-LTT","WORLD-CTRY"
"AGO","2005","ug/m3",9.28201426319577,"Central_AP_NDC-LTT","WORLD-CTRY"
"AIA","2005","ug/m3",1.21707450018989,"Central_AP_NDC-LTT","WORLD-CTRY"
"ALB","2005","ug/m3",12.8627438662325,"Central_AP_NDC-LTT","WORLD-CTRY"
"AND","2005","ug/m3",12.4482199106968,"Central_AP_NDC-LTT","WORLD-CTRY"
"ARE","2005","ug/m3",46.5824057463944,"Central_AP_NDC-LTT","WORLD-CTRY"
"ARG","2005","ug/m3",6.59983242127162,"Central_AP_NDC-LTT","WORLD-CTRY"
"ARM","2005","ug/m3",14.7434215825145,"Central_AP_NDC-LTT","WORLD-CTRY"
"ASM","2005","ug/m3",1.10648542347521,"Central_AP_NDC-LTT","WORLD-CTRY"
"ATF","2005","ug/m3",3.28821625411475,"Central_AP_NDC-LTT","WORLD-CTRY"
"ATG","2005","ug/m3",3.88102739735654,"Central_AP_NDC-LTT","WORLD-CTRY"
"AUS","2005","ug/m3",5.67183559521491,"Central_AP_NDC-LTT","WORLD-CTRY"
"AUT","2005","ug/m3",14.6724594255228,"Central_AP_NDC-LTT","WORLD-CTRY"
"AZE","2005","ug/m3",18.2926378531706,"Central_AP_NDC-LTT","WORLD-CTRY"
"BDI","2005","ug/m3",9.84621610660956,"Central_AP_NDC-LTT","WORLD-CTRY"
"BEL","2005","ug/m3",18.5126517511727,"Central_AP_NDC-LTT","WORLD-CTRY"
"BEN","2005","ug/m3",38.9446048455265,"Central_AP_NDC-LTT","WORLD-CTRY"
"BFA","2005","ug/m3",32.1749099080144,"Central_AP_NDC-LTT","WORLD-CTRY"
"BGD","2005","ug/m3",54.4362892461727,"Central_AP_NDC-LTT","WORLD-CTRY"
"BGR","2005","ug/m3",15.6595176697878,"Central_AP_NDC-LTT","WORLD-CTRY"
"BHR","2005","ug/m3",37.1482831810045,"Central_AP_NDC-LTT","WORLD-CTRY"
"BHS","2005","ug/m3",4.9526565100229,"Central_AP_NDC-LTT","WORLD-CTRY"
"BIH","2005","ug/m3",15.1126111707731,"Central_AP_NDC-LTT","WORLD-CTRY"
"BLM","2005","ug/m3",0,"Central_AP_NDC-LTT","WORLD-CTRY"
"BLR","2005","ug/m3",9.46989499124631,"Central_AP_NDC-LTT","WORLD-CTRY"
"BLZ","2005","ug/m3",14.0932534002996,"Central_AP_NDC-LTT","WORLD-CTRY"
"BMU","2005","ug/m3",0,"Central_AP_NDC-LTT","WORLD-CTRY"
"BOL","2005","ug/m3",11.0171679335726,"Central_AP_NDC-LTT","WORLD-CTRY"
"BRA","2005","ug/m3",6.8091260634898,"Central_AP_NDC-LTT","WORLD-CTRY"
"BRB","2005","ug/m3",4.9990087652499,"Central_AP_NDC-LTT","WORLD-CTRY"
"BRN","2005","ug/m3",6.78145226852085,"Central_AP_NDC-LTT","WORLD-CTRY"
"BTN","2005","ug/m3",24.7741362035591,"Central_AP_NDC-LTT","WORLD-CTRY"
"BWA","2005","ug/m3",5.2837281916496,"Central_AP_NDC-LTT","WORLD-CTRY"
"CAF","2005","ug/m3",18.4028483223802,"Central_AP_NDC-LTT","WORLD-CTRY"
"CAN","2005","ug/m3",9.55150668837238,"Central_AP_NDC-LTT","WORLD-CTRY"
"CHE","2005","ug/m3",18.1818006511429,"Central_AP_NDC-LTT","WORLD-CTRY"
"CHL","2005","ug/m3",52.0201955274548,"Central_AP_NDC-LTT","WORLD-CTRY"
"CHN","2005","ug/m3",41.9429735429388,"Central_AP_NDC-LTT","WORLD-CTRY"
"CIV","2005","ug/m3",29.8196121304484,"Central_AP_NDC-LTT","WORLD-CTRY"
"CMR","2005","ug/m3",29.0842711551252,"Central_AP_NDC-LTT","WORLD-CTRY"
"COD","2005","ug/m3",16.1738832042792,"Central_AP_NDC-LTT","WORLD-CTRY"
"COG","2005","ug/m3",22.4542083644934,"Central_AP_NDC-LTT","WORLD-CTRY"
"COK","2005","ug/m3",0.407048008021186,"Central_AP_NDC-LTT","WORLD-CTRY"
"COL","2005","ug/m3",17.3437282056789,"Central_AP_NDC-LTT","WORLD-CTRY"
"COM","2005","ug/m3",1.16091527183547,"Central_AP_NDC-LTT","WORLD-CTRY"
"CPV","2005","ug/m3",15.2538676241328,"Central_AP_NDC-LTT","WORLD-CTRY"
"CRI","2005","ug/m3",9.19202272346869,"Central_AP_NDC-LTT","WORLD-CTRY"
"CUB","2005","ug/m3",8.28389735702001,"Central_AP_NDC-LTT","WORLD-CTRY"
"CUW","2005","ug/m3",5.34229114827975,"Central_AP_NDC-LTT","WORLD-CTRY"
"CYM","2005","ug/m3",0.513815135666818,"Central_AP_NDC-LTT","WORLD-CTRY"
"CYN","2005","ug/m3",18.3114082891537,"Central_AP_NDC-LTT","WORLD-CTRY"
"CYP","2005","ug/m3",20.300289554659,"Central_AP_NDC-LTT","WORLD-CTRY"
"CZE","2005","ug/m3",15.0327877885054,"Central_AP_NDC-LTT","WORLD-CTRY"
"DEU","2005","ug/m3",17.3196139556592,"Central_AP_NDC-LTT","WORLD-CTRY"
"DJI","2005","ug/m3",15.6016530534223,"Central_AP_NDC-LTT","WORLD-CTRY"
"DMA","2005","ug/m3",6.67767347701608,"Central_AP_NDC-LTT","WORLD-CTRY"
"DNK","2005","ug/m3",13.0799500368025,"Central_AP_NDC-LTT","WORLD-CTRY"
"DOM","2005","ug/m3",11.3356812427516,"Central_AP_NDC-LTT","WORLD-CTRY"
"DZA","2005","ug/m3",22.6736729701035,"Central_AP_NDC-LTT","WORLD-CTRY"
"ECU","2005","ug/m3",11.6258752831528,"Central_AP_NDC-LTT","WORLD-CTRY"
"EGY","2005","ug/m3",50.6225597620598,"Central_AP_NDC-LTT","WORLD-CTRY"
"ERI","2005","ug/m3",14.6445139533221,"Central_AP_NDC-LTT","WORLD-CTRY"
"ESP","2005","ug/m3",13.9889580836806,"Central_AP_NDC-LTT","WORLD-CTRY"
"EST","2005","ug/m3",5.75021876331595,"Central_AP_NDC-LTT","WORLD-CTRY"
"ETH","2005","ug/m3",9.91101367625466,"Central_AP_NDC-LTT","WORLD-CTRY"
"FIN","2005","ug/m3",4.86114628937078,"Central_AP_NDC-LTT","WORLD-CTRY"
"FJI","2005","ug/m3",1.51941997731358,"Central_AP_NDC-LTT","WORLD-CTRY"
"FLK","2005","ug/m3",2.13567021326824,"Central_AP_NDC-LTT","WORLD-CTRY"
"FRA","2005","ug/m3",16.2402571986817,"Central_AP_NDC-LTT","WORLD-CTRY"
"FRO","2005","ug/m3",3.77952819586732,"Central_AP_NDC-LTT","WORLD-CTRY"
"FSM","2005","ug/m3",1.16032508190119,"Central_AP_NDC-LTT","WORLD-CTRY"
"GAB","2005","ug/m3",17.5806883290147,"Central_AP_NDC-LTT","WORLD-CTRY"
"GBR","2005","ug/m3",12.9275864671629,"Central_AP_NDC-LTT","WORLD-CTRY"
"GEO","2005","ug/m3",11.6737908843737,"Central_AP_NDC-LTT","WORLD-CTRY"
"GGY","2005","ug/m3",7.03228856722514,"Central_AP_NDC-LTT","WORLD-CTRY"
"GHA","2005","ug/m3",35.2566057972344,"Central_AP_NDC-LTT","WORLD-CTRY"
"GIN","2005","ug/m3",26.2343012460122,"Central_AP_NDC-LTT","WORLD-CTRY"
"GMB","2005","ug/m3",29.0842433225267,"Central_AP_NDC-LTT","WORLD-CTRY"
"GNB","2005","ug/m3",26.0549210077709,"Central_AP_NDC-LTT","WORLD-CTRY"
"GNQ","2005","ug/m3",17.2105173609417,"Central_AP_NDC-LTT","WORLD-CTRY"
"GRC","2005","ug/m3",17.347143354755,"Central_AP_NDC-LTT","WORLD-CTRY"
"GRD","2005","ug/m3",4.6396881352123,"Central_AP_NDC-LTT","WORLD-CTRY"
"GRL","2005","ug/m3",4.02375646008015,"Central_AP_NDC-LTT","WORLD-CTRY"
"GTM","2005","ug/m3",18.4989031226138,"Central_AP_NDC-LTT","WORLD-CTRY"
"GUM","2005","ug/m3",4.31818132162094,"Central_AP_NDC-LTT","WORLD-CTRY"
"GUY","2005","ug/m3",9.03247198142355,"Central_AP_NDC-LTT","WORLD-CTRY"
"HKG","2005","ug/m3",29.7614472109733,"Central_AP_NDC-LTT","WORLD-CTRY"
"HMD","2005","ug/m3",1.23320298596522,"Central_AP_NDC-LTT","WORLD-CTRY"
"HND","2005","ug/m3",14.6515182003499,"Central_AP_NDC-LTT","WORLD-CTRY"
"HRV","2005","ug/m3",12.8282417371695,"Central_AP_NDC-LTT","WORLD-CTRY"
"HTI","2005","ug/m3",11.2718301658865,"Central_AP_NDC-LTT","WORLD-CTRY"
"HUN","2005","ug/m3",14.6673468584126,"Central_AP_NDC-LTT","WORLD-CTRY"
"IDN","2005","ug/m3",9.81662140805244,"Central_AP_NDC-LTT","WORLD-CTRY"
"IMN","2005","ug/m3",7.89724652444163,"Central_AP_NDC-LTT","WORLD-CTRY"
"IND","2005","ug/m3",40.3563789197448,"Central_AP_NDC-LTT","WORLD-CTRY"
"IOA","2005","ug/m3",3.99070672742252,"Central_AP_NDC-LTT","WORLD-CTRY"
"IOT","2005","ug/m3",0,"Central_AP_NDC-LTT","WORLD-CTRY"
"IRL","2005","ug/m3",8.10078764912785,"Central_AP_NDC-LTT","WORLD-CTRY"
"IRN","2005","ug/m3",31.4464622419369,"Central_AP_NDC-LTT","WORLD-CTRY"
"IRQ","2005","ug/m3",23.8058127286033,"Central_AP_NDC-LTT","WORLD-CTRY"
"ISL","2005","ug/m3",3.35121579949828,"Central_AP_NDC-LTT","WORLD-CTRY"
"ISR","2005","ug/m3",27.7988566773431,"Central_AP_NDC-LTT","WORLD-CTRY"
"ITA","2005","ug/m3",22.5580481603741,"Central_AP_NDC-LTT","WORLD-CTRY"
"JAM","2005","ug/m3",13.2271894354996,"Central_AP_NDC-LTT","WORLD-CTRY"
"JEY","2005","ug/m3",6.23309435075329,"Central_AP_NDC-LTT","WORLD-CTRY"
"JOR","2005","ug/m3",30.6311521687979,"Central_AP_NDC-LTT","WORLD-CTRY"
"JPN","2005","ug/m3",18.8780985063329,"Central_AP_NDC-LTT","WORLD-CTRY"
"KAS","2005","ug/m3",5.61714581957086,"Central_AP_NDC-LTT","WORLD-CTRY"
"KAZ","2005","ug/m3",16.0319251250519,"Central_AP_NDC-LTT","WORLD-CTRY"
"KEN","2005","ug/m3",4.77135638876716,"Central_AP_NDC-LTT","WORLD-CTRY"
"KGZ","2005","ug/m3",26.7958449784001,"Central_AP_NDC-LTT","WORLD-CTRY"
"KHM","2005","ug/m3",11.9741181903281,"Central_AP_NDC-LTT","WORLD-CTRY"
"KIR","2005","ug/m3",0.0766449754601283,"Central_AP_NDC-LTT","WORLD-CTRY"
"KNA","2005","ug/m3",3.54950123753039,"Central_AP_NDC-LTT","WORLD-CTRY"
"KOR","2005","ug/m3",33.540263773897,"Central_AP_NDC-LTT","WORLD-CTRY"
"KOS","2005","ug/m3",15.7532114498131,"Central_AP_NDC-LTT","WORLD-CTRY"
"KWT","2005","ug/m3",40.1858003105359,"Central_AP_NDC-LTT","WORLD-CTRY"
"LAO","2005","ug/m3",19.9525958594803,"Central_AP_NDC-LTT","WORLD-CTRY"
"LBN","2005","ug/m3",24.3325362982865,"Central_AP_NDC-LTT","WORLD-CTRY"
"LBR","2005","ug/m3",26.1091289882169,"Central_AP_NDC-LTT","WORLD-CTRY"
"LBY","2005","ug/m3",26.0024828319263,"Central_AP_NDC-LTT","WORLD-CTRY"
"LCA","2005","ug/m3",7.76696087387451,"Central_AP_NDC-LTT","WORLD-CTRY"
"LIE","2005","ug/m3",15.1876848986049,"Central_AP_NDC-LTT","WORLD-CTRY"
"LKA","2005","ug/m3",13.5535729184769,"Central_AP_NDC-LTT","WORLD-CTRY"
"LSO","2005","ug/m3",13.7619714467807,"Central_AP_NDC-LTT","WORLD-CTRY"
"LTU","2005","ug/m3",10.1629050066748,"Central_AP_NDC-LTT","WORLD-CTRY"
