"region","year","units","value","scenario","level"
"ABW","2005","ug/m3",0,"Sustainable_NDC-LTT","WORLD-CTRY"
"AFG","2005","ug/m3",38.823748816538,"Sustainable_NDC-LTT","WORLD-CTRY"
"AGO","2005","ug/m3",6.12487543960604,"Sustainable_NDC-LTT","WORLD-CTRY"
"AIA","2005","ug/m3",0,"Sustainable_NDC-LTT","WORLD-CTRY"
"ALB","2005","ug/m3",13.7652176582449,"Sustainable_NDC-LTT","WORLD-CTRY"
"AND","2005","ug/m3",14.1107826651701,"Sustainable_NDC-LTT","WORLD-CTRY"
"ARE","2005","ug/m3",36.9265780086591,"Sustainable_NDC-LTT","WORLD-CTRY"
"ARG","2005","ug/m3",4.95637622946165,"Sustainable_NDC-LTT","WORLD-CTRY"
"ARM","2005","ug/m3",8.15839041826796,"Sustainable_NDC-LTT","WORLD-CTRY"
"ASM","2005","ug/m3",3.8354346020387,"Sustainable_NDC-LTT","WORLD-CTRY"
"ATF","2005","ug/m3",12.2116342703837,"Sustainable_NDC-LTT","WORLD-CTRY"
"ATG","2005","ug/m3",8.56831623860769,"Sustainable_NDC-LTT","WORLD-CTRY"
"AUS","2005","ug/m3",4.59184993095686,"Sustainable_NDC-LTT","WORLD-CTRY"
"AUT","2005","ug/m3",13.0312169921653,"Sustainable_NDC-LTT","WORLD-CTRY"
"AZE","2005","ug/m3",8.41133824810409,"Sustainable_NDC-LTT","WORLD-CTRY"
"BDI","2005","ug/m3",14.3045070793004,"Sustainable_NDC-LTT","WORLD-CTRY"
"BEL","2005","ug/m3",17.0850477181393,"Sustainable_NDC-LTT","WORLD-CTRY"
"BEN","2005","ug/m3",34.4046355250092,"Sustainable_NDC-LTT","WORLD-CTRY"
"BFA","2005","ug/m3",34.4165405162117,"Sustainable_NDC-LTT","WORLD-CTRY"
"BGD","2005","ug/m3",38.2455718738811,"Sustainable_NDC-LTT","WORLD-CTRY"
"BGR","2005","ug/m3",14.7867342177129,"Sustainable_NDC-LTT","WORLD-CTRY"
"BHR","2005","ug/m3",33.3489394993272,"Sustainable_NDC-LTT","WORLD-CTRY"
"BHS","2005","ug/m3",10.3894296528918,"Sustainable_NDC-LTT","WORLD-CTRY"
"BIH","2005","ug/m3",14.1699734331252,"Sustainable_NDC-LTT","WORLD-CTRY"
"BLM","2005","ug/m3",0,"Sustainable_NDC-LTT","WORLD-CTRY"
"BLR","2005","ug/m3",7.6692675509104,"Sustainable_NDC-LTT","WORLD-CTRY"
"BLZ","2005","ug/m3",11.9093362974329,"Sustainable_NDC-LTT","WORLD-CTRY"
"BMU","2005","ug/m3",0,"Sustainable_NDC-LTT","WORLD-CTRY"
"BOL","2005","ug/m3",9.99267500417288,"Sustainable_NDC-LTT","WORLD-CTRY"
"BRA","2005","ug/m3",5.1356665345697,"Sustainable_NDC-LTT","WORLD-CTRY"
"BRB","2005","ug/m3",9.00069049715632,"Sustainable_NDC-LTT","WORLD-CTRY"
"BRN","2005","ug/m3",6.74977977473878,"Sustainable_NDC-LTT","WORLD-CTRY"
"BTN","2005","ug/m3",38.1125013665698,"Sustainable_NDC-LTT","WORLD-CTRY"
"BWA","2005","ug/m3",6.14375071504805,"Sustainable_NDC-LTT","WORLD-CTRY"
"CAF","2005","ug/m3",15.4544854277174,"Sustainable_NDC-LTT","WORLD-CTRY"
"CAN","2005","ug/m3",7.17110913458582,"Sustainable_NDC-LTT","WORLD-CTRY"
"CHE","2005","ug/m3",17.1210863323503,"Sustainable_NDC-LTT","WORLD-CTRY"
"CHL","2005","ug/m3",31.6178724310757,"Sustainable_NDC-LTT","WORLD-CTRY"
"CHN","2005","ug/m3",40.9283880106866,"Sustainable_NDC-LTT","WORLD-CTRY"
"CIV","2005","ug/m3",34.4907621508029,"Sustainable_NDC-LTT","WORLD-CTRY"
