"region","year","units","value","scenario","level"
"ABW","2005","ug/m3",4.32450347434817,"Sustainable_NDC-LTT","WORLD-CTRY"
"AFG","2005","ug/m3",40.3148678455154,"Sustainable_NDC-LTT","WORLD-CTRY"
"AGO","2005","ug/m3",9.28201426319577,"Sustainable_NDC-LTT","WORLD-CTRY"
"AIA","2005","ug/m3",1.21707450018989,"Sustainable_NDC-LTT","WORLD-CTRY"
"ALB","2005","ug/m3",12.8627438662325,"Sustainable_NDC-LTT","WORLD-CTRY"
"AND","2005","ug/m3",12.4482199106968,"Sustainable_NDC-LTT","WORLD-CTRY"
"ARE","2005","ug/m3",46.5824057463944,"Sustainable_NDC-LTT","WORLD-CTRY"
"ARG","2005","ug/m3",6.59983242127162,"Sustainable_NDC-LTT","WORLD-CTRY"
"ARM","2005","ug/m3",14.7434215825145,"Sustainable_NDC-LTT","WORLD-CTRY"
"ASM","2005","ug/m3",1.10648542347521,"Sustainable_NDC-LTT","WORLD-CTRY"
"ATF","2005","ug/m3",3.28821625411475,"Sustainable_NDC-LTT","WORLD-CTRY"
"ATG","2005","ug/m3",3.88102739735654,"Sustainable_NDC-LTT","WORLD-CTRY"
"AUS","2005","ug/m3",5.67183559521491,"Sustainable_NDC-LTT","WORLD-CTRY"
"AUT","2005","ug/m3",14.6724594255228,"Sustainable_NDC-LTT","WORLD-CTRY"
"AZE","2005","ug/m3",18.2926378531706,"Sustainable_NDC-LTT","WORLD-CTRY"
"BDI","2005","ug/m3",9.84621610660956,"Sustainable_NDC-LTT","WORLD-CTRY"
"BEL","2005","ug/m3",18.5126517511727,"Sustainable_NDC-LTT","WORLD-CTRY"
"BEN","2005","ug/m3",38.9446048455265,"Sustainable_NDC-LTT","WORLD-CTRY"
"BFA","2005","ug/m3",32.1749099080144,"Sustainable_NDC-LTT","WORLD-CTRY"
"BGD","2005","ug/m3",54.4362892461727,"Sustainable_NDC-LTT","WORLD-CTRY"
"BGR","2005","ug/m3",15.6595176697878,"Sustainable_NDC-LTT","WORLD-CTRY"
"BHR","2005","ug/m3",37.1482831810045,"Sustainable_NDC-LTT","WORLD-CTRY"
"BHS","2005","ug/m3",4.9526565100229,"Sustainable_NDC-LTT","WORLD-CTRY"
"BIH","2005","ug/m3",15.1126111707731,"Sustainable_NDC-LTT","WORLD-CTRY"
"BLM","2005","ug/m3",0,"Sustainable_NDC-LTT","WORLD-CTRY"
"BLR","2005","ug/m3",9.46989499124631,"Sustainable_NDC-LTT","WORLD-CTRY"
