Area,ISOCode,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Algeria,12,0.269776751,0.307140064,0.353571569,0.404597003,0.439981666,0.45922028,0.483028048,0.511600201,0.532631952,0.54992937,0.566058646,0.582496354,0.599713505,0.617493396,0.634902001,0.651108962,0.665885479,0.6796865,0.692342168,0.70440691,0.715790167,0.726751865,0.737038331,0.746184082,0.754794036,0.763112539,0.771198793
Argentina,32,0.472200845,0.487111714,0.502383519,0.50920667,0.517608104,0.538760979,0.552921621,0.565795511,0.580915509,0.598890909,0.614663274,0.629695768,0.642354129,0.654368106,0.666009172,0.677355955,0.688569022,0.699414532,0.709870481,0.720023977,0.730333415,0.740030621,0.749629557,0.759108235,0.768433876,0.777101022,0.785669666
Armenia,51,0.315059716,0.361865584,0.399740871,0.434122275,0.456371149,0.480244677,0.506250204,0.545150088,0.558287287,0.589248017,0.616072586,0.638096777,0.654457672,0.666984697,0.677620228,0.687175142,0.696004754,0.70505332,0.714125712,0.72415711,0.73458197,0.745132225,0.755555139,0.765372802,0.774962508,0.783976202,0.792599233
Australia,36,0.589747244,0.604754664,0.624010975,0.640422246,0.653443323,0.671146664,0.688179184,0.705962401,0.719537401,0.734770831,0.745649579,0.757075133,0.767696683,0.777423425,0.786560725,0.795058264,0.803023117,0.81098742,0.818466511,0.825928999,0.832952634,0.840073486,0.846949638,0.853958975,0.860596391,0.867227048,0.873790241
Austria,40,0.550716958,0.568160149,0.587789314,0.603529139,0.622974381,0.636917328,0.652666386,0.665555524,0.67717801,0.690317693,0.69813255,0.706494687,0.714445343,0.722916756,0.731466932,0.739964802,0.748509505,0.75727131,0.765259445,0.773620455,0.782133442,0.790413556,0.799035086,0.807275224,0.815718055,0.823983498,0.832037058
Azerbaijan,31,0.225490247,0.294943044,0.347752377,0.391945597,0.432610267,0.470974229,0.497431792,0.530467689,0.575440386,0.613627374,0.63421451,0.644432819,0.650992095,0.658232436,0.666136372,0.674381438,0.682913383,0.691177258,0.699248804,0.706882195,0.713662371,0.720045457,0.726385769,0.73229323,0.739176117,0.746196921,0.753989635
Bahamas,44,0.545033181,0.550036109,0.585957617,0.606240318,0.620919845,0.629522507,0.642760428,0.658450634,0.669865113,0.675656331,0.683255755,0.692752974,0.702608675,0.712823436,0.722437606,0.731703423,0.740617873,0.749445904,0.757636539,0.76616762,0.774235263,0.78281087,0.791101143,0.799309565,0.807253855,0.815348751,0.822864214
Bahrain,48,0.371956369,0.419604512,0.462565136,0.473070166,0.503723347,0.529698869,0.553991055,0.576736451,0.595401275,0.614771939,0.628952601,0.640791405,0.652538864,0.664276696,0.675844395,0.687166512,0.69810628,0.709194927,0.719910658,0.730635286,0.741068025,0.750728636,0.760622108,0.769420882,0.777504989,0.785491384,0.793122728
Bangladesh,50,0.21553063,0.209026462,0.234396914,0.251816365,0.271501041,0.293725675,0.321964413,0.350243618,0.37542389,0.400160479,0.420344535,0.436763985,0.453121904,0.469763211,0.486838248,0.504517438,0.522115959,0.539666058,0.55730594,0.574506284,0.591481047,0.6083228,0.625317412,0.642014971,0.658401144,0.673541905,0.687694068
Belarus,112,0.382126374,0.415358308,0.44563934,0.472849191,0.503487548,0.52361123,0.540629206,0.566118369,0.590649846,0.618788056,0.634103759,0.645649908,0.65492761,0.663797577,0.672644795,0.681231466,0.68962897,0.697542407,0.705589681,0.714022086,0.722367788,0.730911837,0.739260365,0.747556278,0.755843602,0.76397096,0.772284314
Belgium,56,0.548361071,0.564384585,0.582239027,0.595744227,0.614198167,0.627537458,0.641951465,0.654492567,0.665949622,0.683625011,0.698758645,0.714749602,0.728311657,0.740355532,0.751297047,0.761562849,0.770988344,0.779741594,0.788353699,0.796670788,0.804930556,0.813110822,0.821074157,0.829009333,0.836965766,0.844545671,0.852121016
Belize,84,0.401864975,0.422643053,0.445838656,0.454156348,0.479383753,0.491893088,0.49698604,0.512524175,0.520889784,0.534503859,0.549337429,0.566215418,0.581515703,0.595832462,0.610063937,0.624034463,0.637605442,0.650845619,0.664109412,0.677192289,0.689996537,0.702647304,0.714508235,0.726126639,0.738289992,0.7508886,0.763633168
Benin,204,0.149039125,0.168986119,0.191561646,0.213858746,0.230865775,0.24850316,0.261607072,0.282317022,0.304904656,0.323260104,0.340745459,0.356822801,0.373796641,0.391166767,0.409002544,0.427016742,0.445474158,0.463788617,0.481833307,0.499402653,0.516925515,0.534009471,0.551089574,0.568181293,0.585245203,0.602230886,0.618692474
Bhutan,64,0.115892871,0.132627917,0.156502192,0.185153736,0.223722741,0.26220402,0.304096313,0.35445249,0.39896054,0.435740985,0.469986343,0.498515329,0.522805153,0.544075878,0.563964853,0.583640403,0.603142462,0.622849875,0.642251396,0.6614281,0.67961916,0.696749981,0.713596359,0.729387774,0.744500338,0.758473201,0.771947567
Bolivia (Plurinational State of),68,0.303824498,0.328997865,0.350162802,0.363645002,0.383590828,0.407161422,0.429815437,0.452552682,0.476343905,0.501813062,0.52142916,0.536786785,0.551506945,0.566344499,0.581034608,0.595838206,0.610207818,0.623751442,0.636617448,0.648580484,0.659506981,0.670045667,0.680042137,0.689515939,0.698487434,0.706811111,0.715111014
Bosnia and Herzegovina,70,0.296714182,0.342149169,0.384206915,0.420419106,0.450642036,0.467328148,0.531829452,0.5384149,0.567072786,0.595840554,0.621373674,0.641211628,0.657956384,0.67235228,0.68528464,0.697856179,0.709544484,0.720732402,0.731631318,0.742315929,0.753022603,0.763523967,0.7739833,0.783820204,0.79301471,0.801741094,0.809603409
Botswana,72,0.259873984,0.308991862,0.352668261,0.390305877,0.428722887,0.43711153,0.433269731,0.440274407,0.484263219,0.527955632,0.564668837,0.583562138,0.599066394,0.613005841,0.625800573,0.636360863,0.645843637,0.654305845,0.662569762,0.669977176,0.677126873,0.684226419,0.690539086,0.696572441,0.702097896,0.707969703,0.713296547
Brazil,76,0.339652106,0.371970782,0.398673494,0.413613262,0.432377254,0.452097858,0.471811532,0.491882062,0.511661468,0.523590548,0.543277312,0.5608227,0.575948789,0.590406174,0.604859185,0.619435058,0.634286319,0.648865202,0.662417935,0.674889729,0.686714995,0.697954952,0.708743847,0.719312686,0.729415091,0.739237402,0.748611759
Bulgaria,100,0.467623431,0.493654716,0.51464991,0.530285772,0.541016068,0.545356656,0.549757574,0.574012286,0.589697551,0.618659988,0.633466406,0.647411303,0.658724762,0.669412795,0.679341358,0.68950553,0.699178672,0.708602647,0.717752181,0.727565286,0.736855656,0.746105273,0.755081187,0.763670719,0.771628389,0.779513116,0.787821598
Burkina Faso,854,0.091623066,0.108402259,0.125117643,0.145687015,0.159536844,0.171532548,0.187680269,0.199662625,0.233134223,0.259669171,0.284489041,0.306136809,0.32590766,0.345596464,0.365273642,0.385328326,0.405646614,0.426245371,0.447217724,0.468087553,0.488601008,0.508455871,0.528097981,0.546993756,0.56508382,0.58296333,0.600427339
Burundi,108,0.129708987,0.138048571,0.15166509,0.164324626,0.179667758,0.178890985,0.202946098,0.212570782,0.225879512,0.253485228,0.28236217,0.307992457,0.32935552,0.348175511,0.365365716,0.381522444,0.398011824,0.415472925,0.434052697,0.453015066,0.472158743,0.490862902,0.509357795,0.527685193,0.545951382,0.564149842,0.58183498
Cameroon,120,0.231174207,0.261528032,0.289906724,0.317553808,0.323191081,0.321143977,0.327819519,0.348713302,0.373784492,0.39632967,0.422102946,0.443986897,0.463020385,0.481674266,0.499188756,0.51639267,0.532798062,0.548621222,0.564062391,0.579233008,0.5938996,0.607946574,0.621679471,0.635719297,0.649865645,0.663535059,0.67643239
Canada,124,0.597777077,0.617092633,0.63570631,0.652937159,0.666941092,0.677624726,0.692615247,0.705356259,0.712750966,0.717581408,0.726771608,0.736527046,0.74481059,0.752638462,0.759993741,0.767138928,0.773978517,0.780303432,0.786591493,0.793106256,0.79960697,0.806014158,0.812753184,0.819254699,0.82576077,0.832291591,0.838801815
Cape Verde,132,0.236266001,0.258483361,0.280885612,0.312342534,0.330933824,0.356750616,0.392617547,0.423855334,0.447587891,0.469564183,0.487362559,0.500632181,0.512898233,0.525018722,0.538425373,0.552301939,0.566693698,0.580909808,0.595037253,0.608697801,0.622670594,0.636587786,0.649890977,0.663426301,0.676434304,0.689559238,0.703041707
