"Area","ISOCode","year","hdi"
"Algeria",12,"2050",0.665885479
"Argentina",32,"2050",0.688569022
"Armenia",51,"2050",0.696004754
"Australia",36,"2050",0.803023117
"Austria",40,"2050",0.748509505
"Azerbaijan",31,"2050",0.682913383
"Bahamas",44,"2050",0.740617873
"Bahrain",48,"2050",0.69810628
"Bangladesh",50,"2050",0.522115959
"Belarus",112,"2050",0.68962897
"Belgium",56,"2050",0.770988344
"Belize",84,"2050",0.637605442
"Benin",204,"2050",0.445474158
"Bhutan",64,"2050",0.603142462
"Bolivia (Plurinational State of)",68,"2050",0.610207818
"Bosnia and Herzegovina",70,"2050",0.709544484
"Botswana",72,"2050",0.645843637
"Brazil",76,"2050",0.634286319
"Bulgaria",100,"2050",0.699178672
"Burkina Faso",854,"2050",0.405646614
"Burundi",108,"2050",0.398011824
"Cameroon",120,"2050",0.532798062
"Canada",124,"2050",0.773978517
"Cape Verde",132,"2050",0.566693698
"Central African Republic",140,"2050",0.449624555
"Chad",148,"2050",0.425629029
"Chile",152,"2050",0.708477171
"China",156,"2050",0.680610904
"Colombia",170,"2050",0.638192979
"Comoros",174,"2050",0.524844576
"Congo",178,"2050",0.584560783
"Costa Rica",188,"2050",0.661034687
"Cote d'Ivoire",384,"2050",0.470110399
"Croatia",191,"2050",0.712157941
"Cuba",192,"2050",0.708729363
"Cyprus",196,"2050",0.765200466
"Czech Republic",203,"2050",0.741450227
"Democratic Republic of the Congo",180,"2050",0.520925134
"Denmark",208,"2050",0.760905847
"Dominican Republic",214,"2050",0.661655449
"Ecuador",218,"2050",0.660228274
"Egypt",818,"2050",0.649803337
"El Salvador",222,"2050",0.625805729
"Equatorial Guinea",226,"2050",0.591537547
"Estonia",233,"2050",0.724825037
"Ethiopia",231,"2050",0.434200215
"Fiji",242,"2050",0.677052253
"Finland",246,"2050",0.771151668
"France",250,"2050",0.774945064
"Gabon",266,"2050",0.6075717
"Gambia",270,"2050",0.498190767
"Georgia",268,"2050",0.711743355
"Germany",276,"2050",0.767788357
"Ghana",288,"2050",0.524459778
"Greece",300,"2050",0.761129897
"Guatemala",320,"2050",0.58695407
"Guinea",324,"2050",0.463421872
"Guinea-Bissau",624,"2050",0.44755951
"Guyana",328,"2050",0.602025961
"Haiti",332,"2050",0.531180102
"Honduras",340,"2050",0.557329339
"Hungary",348,"2050",0.720124161
"Iceland",352,"2050",0.805374331
"India",356,"2050",0.613848017
"Indonesia",360,"2050",0.646568068
"Iran (Islamic Republic of)",364,"2050",0.672122082
"Iraq",368,"2050",0.644191438
"Ireland",372,"2050",0.781042668
"Israel",376,"2050",0.727076657
"Italy",380,"2050",0.782938329
"Jamaica",388,"2050",0.677354938
"Japan",392,"2050",0.785569305
"Jordan",400,"2050",0.658894587
"Kazakhstan",398,"2050",0.672752655
"Kenya",404,"2050",0.561562692
"Kuwait",414,"2050",0.665428226
"Kyrgyzstan",417,"2050",0.670028008
"Lao People's Democratic Republic",418,"2050",0.556072857
"Latvia",428,"2050",0.704764163
"Lebanon",422,"2050",0.697968994
"Lesotho",426,"2050",0.486690919
"Liberia",430,"2050",0.478821246
"Lithuania",440,"2050",0.722023424
"Luxembourg",442,"2050",0.824220278
"Madagascar",450,"2050",0.44912857
"Malawi",454,"2050",0.489097584
"Malaysia",458,"2050",0.710096104
"Maldives",462,"2050",0.613461018
"Mali",466,"2050",0.406304608
"Malta",470,"2050",0.752456564
"Mauritius",480,"2050",0.646785684
"Mexico",484,"2050",0.678106092
"Mongolia",496,"2050",0.634934674
"Morocco",504,"2050",0.596269203
"Mozambique",508,"2050",0.439329106
"Namibia",516,"2050",0.603224985
"Nepal",524,"2050",0.535043446
"Netherlands",528,"2050",0.779290723
"New Zealand",554,"2050",0.774653195
"Nicaragua",558,"2050",0.56383583
"Niger",562,"2050",0.382230446
"Nigeria",566,"2050",0.538439887
"Norway",578,"2050",0.799961378
"Oman",512,"2050",0.67761269
"Pakistan",586,"2050",0.53186501
"Panama",591,"2050",0.68594362
"Paraguay",600,"2050",0.613595873
"Peru",604,"2050",0.666449894
"Philippines",608,"2050",0.603046741
"Poland",616,"2050",0.746161947
"Portugal",620,"2050",0.726677861
"Puerto Rico",630,"2050",0.736401614
"Republic of Korea",410,"2050",0.750363309
"Republic of Moldova",498,"2050",0.670461407
"Romania",642,"2050",0.703906126
"Russian Federation",643,"2050",0.688393165
"Rwanda",646,"2050",0.454467402
"Saint Lucia",662,"2050",0.682987739
"Saint Vincent and the Grenadines",670,"2050",0.671920272
"Samoa",882,"2050",0.674717945
"Sao Tome and Principe",678,"2050",0.49241385
"Saudi Arabia",682,"2050",0.687167201
"Senegal",686,"2050",0.491863312
"Serbia",688,"2050",0.711907972
"Sierra Leone",694,"2050",0.435627091
"Singapore",702,"2050",0.765724097
"Slovakia",703,"2050",0.742128324
"Slovenia",705,"2050",0.734433663
"Solomon Islands",90,"2050",0.562622084
"Somalia",706,"2050",0.414449613
"South Africa",710,"2050",0.618877037
"Spain",724,"2050",0.766668015
"Sri Lanka",144,"2050",0.646755908
"Sudan",729,"2050",0.545976743
"Suriname",740,"2050",0.674311677
"Swaziland",748,"2050",0.576062717
"Sweden",752,"2050",0.781619139
